sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_0_3,conf_0_4,conf_1_0,conf_1_1,conf_1_2,conf_1_3,conf_1_4,conf_2_0,conf_2_1,conf_2_2,conf_2_3,conf_2_4,conf_3_0,conf_3_1,conf_3_2,conf_3_3,conf_3_4,conf_4_0,conf_4_1,conf_4_2,conf_4_3,conf_4_4
0,2000,5,0.017565913361702132,0.022544667499719354,0.024145940402298574,0.033102455381794564,0.8305,1,186,0,505,56,8,11,16,48,481,1,7,9,9,1,343,14,1,13,5,18,217,5,77,21,3,16,115
1,2000,5,0.011665130195135912,0.015032956797053125,0.10353860464933477,0.1835135978010417,0.4355,1,51,0,33,419,49,23,16,449,27,16,14,14,20,28,329,4,11,8,21,3,297,0,14,9,9,2,185
2,2000,5,0.008956137288980828,0.009944069079077496,0.10809798399780635,0.18193481830515806,0.658,1,195,0,525,21,18,20,25,25,479,24,9,11,25,55,293,41,18,29,18,16,11,144,12,18,23,132,8
3,2000,5,0.007714758588810619,0.008505270485382806,0.10753928279147416,0.1946143238269078,0.4735,1,84,0,519,4,38,18,10,68,15,343,17,3,16,403,17,27,22,11,22,14,199,8,8,12,3,6,197
4,2000,5,0.017644280231608928,0.01865156721381811,0.022124817867834677,0.02863095011470955,0.853,1,58,0,408,12,35,15,14,10,431,6,15,5,26,11,346,10,5,42,36,18,252,3,13,9,7,2,269
5,2000,5,0.01334643817543386,0.016128053643046564,0.11247962033010944,0.19484214815227627,0.698,1,165,0,565,14,13,15,9,26,425,19,4,19,4,17,393,5,15,53,38,29,9,124,17,8,12,163,4
6,2000,5,0.012179273785942635,0.0158464471447389,0.11525440717694117,0.19997642215877037,0.6485,0,200,0,604,15,12,3,20,46,334,15,19,19,8,17,332,8,17,50,35,57,21,145,3,17,3,194,6
7,2000,5,0.010301318218154231,0.011889426529224442,0.1161053204229471,0.21026156029143026,0.6775,1,97,0,554,37,13,24,21,37,481,8,15,11,24,16,307,8,4,28,31,3,9,144,30,19,4,168,4
8,2000,5,0.022346123880794853,0.026051351098585113,0.11479597876470116,0.204073278584971,0.6055,1,111,0,626,44,38,11,25,23,367,23,15,11,33,22,22,211,36,24,26,199,4,1,19,5,8,15,192
9,2000,5,0.010881020328437064,0.01135046062699761,0.022953568005945314,0.029409134341196887,0.818,1,124,0,586,20,12,50,10,24,377,30,16,7,11,17,298,6,40,29,14,4,221,7,19,6,26,16,154
10,2000,5,0.012451428289212502,0.013028162147846625,0.16374906073876272,0.2494093485753859,0.4055,1,106,0,406,19,8,28,13,17,350,14,22,12,47,23,25,257,11,46,10,4,18,304,7,20,318,9,12
